0,18S_511145_ECOLI,1402-1418;1482-1502
1,18S_511145_ECOLI,1397-1401;1531-1542
1a,18S_511145_ECOLI,1419-1433;1467-1481
1b,18S_511145_ECOLI,1434-1466
2,18S_511145_ECOLI,1503-1530
3a,18S_511145_ECOLI,885-913
3,18S_511145_ECOLI,15-21;914-938;1377-1396
4a,18S_511145_ECOLI,570-576;814-820
4,18S_511145_ECOLI,22-38;548-569;821-827;871-884
5a,18S_511145_ECOLI,777-803
5,18S_511145_ECOLI,577-587;754-776;804-813
6,18S_511145_ECOLI,939-944;1338-1376
7b,18S_511145_ECOLI,505-510
7a,18S_511145_ECOLI,523-536
7,18S_511145_ECOLI,39-46;366-405;498-504;511-522;537-547
8,18S_511145_ECOLI,945-960;1224-1237;1335-1337
9,18S_511145_ECOLI,47-59;352-365
10,18S_511145_ECOLI,961-991;1212-1223
11,18S_511145_ECOLI,992-1004;1037-1064;1188-1211
12,18S_511145_ECOLI,60-115;289-315
13,18S_511145_ECOLI,116-119;240-244;280-288
14,18S_511145_ECOLI,1238-1256;1279-1299
14a,18S_511145_ECOLI,1257-1278
15,18S_511145_ECOLI,120-143;198-239
16,18S_511145_ECOLI,1300-1334
17,18S_511145_ECOLI,316-351
18,18S_511145_ECOLI,144-197
19,18S_511145_ECOLI,245-279
20,18S_511145_ECOLI,588-686;701-717;734-753
20a,18S_511145_ECOLI,687-700
21,18S_511145_ECOLI,828-870
22,18S_511145_ECOLI,1065-1083;1102-1157;1184-1187
23,18S_511145_ECOLI,1084-1101
24,18S_511145_ECOLI,718-733
25,18S_511145_ECOLI,1158-1183
26,18S_511145_ECOLI,406-497
27,18S_511145_ECOLI,1005-1036
